"","mesoregion","year","agec","j12_j18","ach.noj","all.deaths","coverage3","hdi.mesoregion.2010"
"2",1101,2005,1,7,34,58,0,0.701495877993442
"3",1101,2005,2,0,15,19,0,0.701495877993442
"4",1101,2005,3,2,20,27,0,0.701495877993442
"6",1101,2006,1,5,30,49,0,0.701495877993442
"7",1101,2006,2,4,12,21,0,0.701495877993442
"8",1101,2006,3,0,15,16,0,0.701495877993442
"10",1101,2007,1,3,36,58,0,0.701495877993442
"11",1101,2007,2,1,6,12,0,0.701495877993442
"12",1101,2007,3,1,6,12,0,0.701495877993442
"14",1101,2008,1,2,22,34,0,0.701495877993442
"15",1101,2008,2,0,9,13,0,0.701495877993442
"16",1101,2008,3,0,23,27,0,0.701495877993442
"18",1101,2009,1,5,27,49,0,0.701495877993442
"19",1101,2009,2,3,8,15,0,0.701495877993442
"20",1101,2009,3,4,10,18,0,0.701495877993442
"22",1101,2010,1,7,27,53,0,0.701495877993442
"23",1101,2010,2,1,7,12,0,0.701495877993442
"24",1101,2010,3,4,18,30,0,0.701495877993442
"25",1101,2011,2,2,4,12,90.0588501636847,0.701495877993442
"26",1101,2011,3,4,12,23,90.0588501636847,0.701495877993442
"27",1101,2011,1,4,20,42,90.0588501636847,0.701495877993442
"30",1101,2012,1,6,17,38,105.711318128635,0.701495877993442
"31",1101,2012,2,4,7,15,105.711318128635,0.701495877993442
"32",1101,2012,3,5,8,17,105.711318128635,0.701495877993442
"34",1101,2013,2,1,11,15,94.086387034721,0.701495877993442
"35",1101,2013,1,5,17,39,94.086387034721,0.701495877993442
"36",1101,2013,3,4,17,25,94.086387034721,0.701495877993442
"38",1101,2014,2,3,3,10,103.557065241484,0.701495877993442
"39",1101,2014,1,9,17,42,103.557065241484,0.701495877993442
"40",1101,2014,3,2,9,16,103.557065241484,0.701495877993442
"41",1101,2015,3,1,9,12,101.707103539808,0.701495877993442
"42",1101,2015,1,6,15,31,101.707103539808,0.701495877993442
"43",1101,2015,2,4,7,13,101.707103539808,0.701495877993442
"46",1102,2005,1,11,38,67,0,0.677849278620348
"47",1102,2005,2,6,10,19,0,0.677849278620348
"48",1102,2005,3,1,23,29,0,0.677849278620348
"50",1102,2006,1,12,24,48,0,0.677849278620348
"51",1102,2006,2,1,9,17,0,0.677849278620348
"52",1102,2006,3,5,15,24,0,0.677849278620348
"54",1102,2007,1,5,29,51,0,0.677849278620348
"55",1102,2007,2,4,9,17,0,0.677849278620348
"56",1102,2007,3,0,14,16,0,0.677849278620348
"58",1102,2008,1,5,35,56,0,0.677849278620348
"59",1102,2008,2,1,12,19,0,0.677849278620348
"60",1102,2008,3,1,23,27,0,0.677849278620348
"62",1102,2009,1,11,31,55,0,0.677849278620348
"63",1102,2009,2,3,12,21,0,0.677849278620348
"64",1102,2009,3,1,14,19,0,0.677849278620348
"66",1102,2010,1,4,26,48,0,0.677849278620348
"67",1102,2010,2,0,10,13,0,0.677849278620348
"68",1102,2010,3,2,11,19,0,0.677849278620348
"69",1102,2011,2,3,10,17,95.708671621274,0.677849278620348
"71",1102,2011,3,4,14,23,95.708671621274,0.677849278620348
"72",1102,2011,1,6,28,50,95.708671621274,0.677849278620348
"73",1102,2012,3,2,14,21,95.8251948662529,0.677849278620348
"74",1102,2012,1,3,24,42,95.8251948662529,0.677849278620348
"75",1102,2012,2,2,2,7,95.8251948662529,0.677849278620348
"77",1102,2013,3,5,13,23,97.2581408822003,0.677849278620348
"78",1102,2013,1,5,23,44,97.2581408822003,0.677849278620348
"80",1102,2013,2,2,9,15,97.2581408822003,0.677849278620348
"81",1102,2014,1,4,27,41,106.606839336743,0.677849278620348
"82",1102,2014,2,3,9,17,106.606839336743,0.677849278620348
"83",1102,2014,3,4,5,15,106.606839336743,0.677849278620348
"85",1102,2015,2,0,3,4,109.208008628479,0.677849278620348
"87",1102,2015,1,8,31,53,109.208008628479,0.677849278620348
"88",1102,2015,3,3,5,12,109.208008628479,0.677849278620348
"90",1201,2005,1,8,33,53,0,0.587519110054437
"91",1201,2005,2,4,13,21,0,0.587519110054437
"92",1201,2005,3,0,12,14,0,0.587519110054437
"94",1201,2006,1,6,41,56,0,0.587519110054437
"95",1201,2006,2,2,8,14,0,0.587519110054437
"96",1201,2006,3,2,5,12,0,0.587519110054437
"98",1201,2007,1,6,27,46,0,0.587519110054437
"99",1201,2007,2,1,4,6,0,0.587519110054437
"100",1201,2007,3,0,4,4,0,0.587519110054437
"102",1201,2008,1,10,26,45,0,0.587519110054437
"103",1201,2008,2,4,7,15,0,0.587519110054437
"104",1201,2008,3,0,7,9,0,0.587519110054437
"106",1201,2009,1,12,30,48,0,0.587519110054437
"107",1201,2009,2,1,11,13,0,0.587519110054437
"108",1201,2009,3,2,9,13,0,0.587519110054437
"110",1201,2010,1,5,10,25,0,0.587519110054437
"111",1201,2010,2,2,9,15,0,0.587519110054437
"112",1201,2010,3,0,3,4,0,0.587519110054437
"114",1201,2011,3,2,6,12,33.3843511179152,0.587519110054437
"115",1201,2011,1,6,24,37,33.3843511179152,0.587519110054437
"116",1201,2011,2,2,6,11,33.3843511179152,0.587519110054437
"117",1201,2012,3,1,6,9,58.3062087827731,0.587519110054437
"118",1201,2012,2,1,15,17,58.3062087827731,0.587519110054437
"120",1201,2012,1,4,31,38,58.3062087827731,0.587519110054437
"121",1201,2013,2,2,2,6,60.3956358978633,0.587519110054437
"122",1201,2013,3,0,6,10,60.3956358978633,0.587519110054437
"123",1201,2013,1,6,14,29,60.3956358978633,0.587519110054437
"126",1201,2014,3,0,5,5,55.0439494404941,0.587519110054437
"127",1201,2014,2,2,9,13,55.0439494404941,0.587519110054437
"128",1201,2014,1,12,19,40,55.0439494404941,0.587519110054437
"130",1201,2015,1,11,13,35,66.4406128026179,0.587519110054437
"131",1201,2015,2,1,4,8,66.4406128026179,0.587519110054437
"132",1201,2015,3,0,5,7,66.4406128026179,0.587519110054437
"134",1202,2005,1,8,53,84,0,0.68237503864373
"135",1202,2005,2,4,20,27,0,0.68237503864373
"136",1202,2005,3,3,20,28,0,0.68237503864373
"138",1202,2006,1,11,42,86,0,0.68237503864373
"139",1202,2006,2,5,11,20,0,0.68237503864373
"140",1202,2006,3,2,8,13,0,0.68237503864373
"142",1202,2007,1,10,33,62,0,0.68237503864373
"143",1202,2007,2,11,10,28,0,0.68237503864373
"144",1202,2007,3,1,8,13,0,0.68237503864373
"146",1202,2008,1,3,37,61,0,0.68237503864373
"147",1202,2008,2,4,8,19,0,0.68237503864373
"148",1202,2008,3,1,7,15,0,0.68237503864373
"150",1202,2009,1,10,30,54,0,0.68237503864373
"151",1202,2009,2,1,12,16,0,0.68237503864373
"152",1202,2009,3,5,12,22,0,0.68237503864373
"154",1202,2010,1,4,36,54,0,0.68237503864373
"155",1202,2010,2,1,11,16,0,0.68237503864373
"156",1202,2010,3,1,13,19,0,0.68237503864373
"157",1202,2011,2,2,9,16,61.6274315964431,0.68237503864373
"158",1202,2011,1,2,22,36,61.6274315964431,0.68237503864373
"159",1202,2011,3,3,13,19,61.6274315964431,0.68237503864373
"161",1202,2012,2,0,10,11,77.5939035818167,0.68237503864373
"163",1202,2012,1,6,35,55,77.5939035818167,0.68237503864373
"164",1202,2012,3,2,14,17,77.5939035818167,0.68237503864373
"165",1202,2013,2,5,11,20,74.760597556719,0.68237503864373
"167",1202,2013,3,1,17,23,74.760597556719,0.68237503864373
"168",1202,2013,1,6,29,52,74.760597556719,0.68237503864373
"169",1202,2014,2,1,4,7,64.1656420510263,0.68237503864373
"171",1202,2014,3,1,14,18,64.1656420510263,0.68237503864373
"172",1202,2014,1,7,35,58,64.1656420510263,0.68237503864373
"173",1202,2015,1,9,28,50,76.1373228953711,0.68237503864373
"174",1202,2015,2,1,7,11,76.1373228953711,0.68237503864373
"175",1202,2015,3,1,10,13,76.1373228953711,0.68237503864373
"178",1301,2005,1,6,25,39,0,0.541589425183611
"179",1301,2005,2,0,14,22,0,0.541589425183611
"180",1301,2005,3,1,5,10,0,0.541589425183611
"182",1301,2006,1,7,23,35,0,0.541589425183611
"183",1301,2006,2,2,12,15,0,0.541589425183611
"184",1301,2006,3,1,9,16,0,0.541589425183611
"186",1301,2007,1,2,20,28,0,0.541589425183611
"187",1301,2007,2,2,13,18,0,0.541589425183611
"188",1301,2007,3,0,8,9,0,0.541589425183611
"190",1301,2008,1,12,20,37,0,0.541589425183611
"191",1301,2008,2,6,10,19,0,0.541589425183611
"192",1301,2008,3,2,12,14,0,0.541589425183611
"194",1301,2009,1,3,24,40,0,0.541589425183611
"195",1301,2009,2,1,18,27,0,0.541589425183611
"196",1301,2009,3,1,11,13,0,0.541589425183611
"198",1301,2010,1,2,15,21,0,0.541589425183611
"199",1301,2010,2,4,9,17,0,0.541589425183611
"200",1301,2010,3,1,5,8,0,0.541589425183611
"201",1301,2011,3,0,8,11,29.6691339539827,0.541589425183611
"202",1301,2011,1,6,14,21,29.6691339539827,0.541589425183611
"203",1301,2011,2,0,13,13,29.6691339539827,0.541589425183611
"206",1301,2012,3,0,7,7,61.0640543589818,0.541589425183611
"207",1301,2012,2,3,11,18,61.0640543589818,0.541589425183611
"208",1301,2012,1,5,18,29,61.0640543589818,0.541589425183611
"209",1301,2013,2,1,13,15,80.7253940443869,0.541589425183611
"210",1301,2013,1,7,15,27,80.7253940443869,0.541589425183611
"212",1301,2013,3,1,12,14,80.7253940443869,0.541589425183611
"213",1301,2014,3,2,15,20,66.4052642612259,0.541589425183611
"214",1301,2014,2,2,9,14,66.4052642612259,0.541589425183611
"216",1301,2014,1,7,19,34,66.4052642612259,0.541589425183611
"217",1301,2015,2,4,9,16,67.1061870828268,0.541589425183611
"219",1301,2015,1,7,9,25,67.1061870828268,0.541589425183611
"220",1301,2015,3,0,11,12,67.1061870828268,0.541589425183611
"222",1302,2005,1,5,54,71,0,0.540845179656882
"223",1302,2005,2,4,24,38,0,0.540845179656882
"224",1302,2005,3,3,12,18,0,0.540845179656882
"226",1302,2006,1,8,43,68,0,0.540845179656882
"227",1302,2006,2,2,19,22,0,0.540845179656882
"228",1302,2006,3,0,16,18,0,0.540845179656882
"230",1302,2007,1,7,39,59,0,0.540845179656882
"231",1302,2007,2,1,16,25,0,0.540845179656882
"232",1302,2007,3,2,12,17,0,0.540845179656882
"234",1302,2008,1,12,33,56,0,0.540845179656882
"235",1302,2008,2,6,19,30,0,0.540845179656882
"236",1302,2008,3,5,17,25,0,0.540845179656882
"238",1302,2009,1,12,46,74,0,0.540845179656882
"239",1302,2009,2,8,25,41,0,0.540845179656882
"240",1302,2009,3,7,22,29,0,0.540845179656882
"242",1302,2010,1,10,54,81,0,0.540845179656882
"243",1302,2010,2,4,23,40,0,0.540845179656882
"244",1302,2010,3,2,15,21,0,0.540845179656882
"246",1302,2011,2,5,21,27,44.1717904202991,0.540845179656882
"247",1302,2011,3,1,16,22,44.1717904202991,0.540845179656882
"248",1302,2011,1,6,27,50,44.1717904202991,0.540845179656882
"249",1302,2012,2,2,21,30,67.8220351115732,0.540845179656882
"250",1302,2012,3,6,19,31,67.8220351115732,0.540845179656882
"252",1302,2012,1,9,66,95,67.8220351115732,0.540845179656882
"253",1302,2013,2,7,23,38,81.5048042219867,0.540845179656882
"254",1302,2013,3,3,23,28,81.5048042219867,0.540845179656882
"256",1302,2013,1,25,46,89,81.5048042219867,0.540845179656882
"257",1302,2014,3,5,16,23,77.5061962129089,0.540845179656882
"258",1302,2014,1,18,47,85,77.5061962129089,0.540845179656882
"259",1302,2014,2,6,20,28,77.5061962129089,0.540845179656882
"261",1302,2015,2,3,27,34,83.7081619661281,0.540845179656882
"262",1302,2015,3,2,17,25,83.7081619661281,0.540845179656882
"264",1302,2015,1,19,41,71,83.7081619661281,0.540845179656882
"266",1303,2005,1,26,209,312,0,0.692143819271474
"267",1303,2005,2,18,60,98,0,0.692143819271474
"268",1303,2005,3,7,82,109,0,0.692143819271474
"270",1303,2006,1,43,182,318,0,0.692143819271474
"271",1303,2006,2,16,70,106,0,0.692143819271474
"272",1303,2006,3,13,73,115,0,0.692143819271474
"274",1303,2007,1,32,162,277,0,0.692143819271474
"275",1303,2007,2,11,61,107,0,0.692143819271474
"276",1303,2007,3,8,66,93,0,0.692143819271474
"278",1303,2008,1,31,136,236,0,0.692143819271474
"279",1303,2008,2,10,52,78,0,0.692143819271474
"280",1303,2008,3,7,70,106,0,0.692143819271474
"282",1303,2009,1,25,141,222,0,0.692143819271474
"283",1303,2009,2,14,52,90,0,0.692143819271474
"284",1303,2009,3,11,97,137,0,0.692143819271474
"286",1303,2010,1,28,128,230,0,0.692143819271474
"287",1303,2010,2,15,50,90,0,0.692143819271474
"288",1303,2010,3,10,66,98,0,0.692143819271474
"289",1303,2011,3,8,76,108,67.0514154919275,0.692143819271474
"290",1303,2011,2,12,45,72,67.0514154919275,0.692143819271474
"291",1303,2011,1,21,107,186,67.0514154919275,0.692143819271474
"293",1303,2012,1,24,120,229,78.5473795157749,0.692143819271474
"295",1303,2012,2,8,41,71,78.5473795157749,0.692143819271474
"296",1303,2012,3,19,46,90,78.5473795157749,0.692143819271474
"298",1303,2013,2,11,44,78,75.1410072685032,0.692143819271474
"299",1303,2013,1,42,135,259,75.1410072685032,0.692143819271474
"300",1303,2013,3,9,58,87,75.1410072685032,0.692143819271474
"301",1303,2014,3,9,51,93,80.7187087340826,0.692143819271474
"303",1303,2014,2,12,40,82,80.7187087340826,0.692143819271474
"304",1303,2014,1,29,126,230,80.7187087340826,0.692143819271474
"305",1303,2015,3,6,51,75,86.8134973185438,0.692143819271474
"306",1303,2015,1,30,99,188,86.8134973185438,0.692143819271474
"308",1303,2015,2,6,41,69,86.8134973185438,0.692143819271474
"310",1304,2005,1,4,23,30,0,0.566115398606657
"311",1304,2005,2,1,6,8,0,0.566115398606657
"312",1304,2005,3,3,14,20,0,0.566115398606657
"314",1304,2006,1,3,20,31,0,0.566115398606657
"315",1304,2006,2,0,8,11,0,0.566115398606657
"316",1304,2006,3,0,3,4,0,0.566115398606657
"318",1304,2007,1,3,16,24,0,0.566115398606657
"319",1304,2007,2,1,11,15,0,0.566115398606657
"320",1304,2007,3,1,10,12,0,0.566115398606657
"322",1304,2008,1,2,25,37,0,0.566115398606657
"323",1304,2008,2,2,5,9,0,0.566115398606657
"324",1304,2008,3,0,4,4,0,0.566115398606657
"326",1304,2009,1,1,20,25,0,0.566115398606657
"327",1304,2009,2,0,5,7,0,0.566115398606657
"328",1304,2009,3,0,12,14,0,0.566115398606657
"330",1304,2010,1,2,13,20,0,0.566115398606657
"331",1304,2010,2,2,4,8,0,0.566115398606657
"332",1304,2010,3,0,15,15,0,0.566115398606657
"333",1304,2011,3,2,6,10,50.9098170435336,0.566115398606657
"334",1304,2011,1,1,15,20,50.9098170435336,0.566115398606657
"336",1304,2011,2,3,5,9,50.9098170435336,0.566115398606657
"338",1304,2012,1,5,19,28,68.6772385342696,0.566115398606657
"339",1304,2012,3,0,8,9,68.6772385342696,0.566115398606657
"340",1304,2012,2,1,6,10,68.6772385342696,0.566115398606657
"341",1304,2013,2,1,13,17,74.0447778080073,0.566115398606657
"343",1304,2013,1,0,14,18,74.0447778080073,0.566115398606657
"344",1304,2013,3,2,8,11,74.0447778080073,0.566115398606657
"345",1304,2014,3,0,7,10,76.4210133373277,0.566115398606657
"346",1304,2014,1,2,10,12,76.4210133373277,0.566115398606657
"348",1304,2014,2,4,5,13,76.4210133373277,0.566115398606657
"349",1304,2015,1,1,15,25,82.335168543104,0.566115398606657
"351",1304,2015,2,0,3,3,82.335168543104,0.566115398606657
"352",1304,2015,3,0,14,18,82.335168543104,0.566115398606657
"354",1401,2005,1,7,28,49,0,0.713858867702275
"355",1401,2005,2,3,8,17,0,0.713858867702275
"356",1401,2005,3,1,20,27,0,0.713858867702275
"358",1401,2006,1,8,28,52,0,0.713858867702275
"359",1401,2006,2,6,12,20,0,0.713858867702275
"360",1401,2006,3,1,17,19,0,0.713858867702275
"362",1401,2007,1,7,14,34,0,0.713858867702275
"363",1401,2007,2,1,6,10,0,0.713858867702275
"364",1401,2007,3,1,14,19,0,0.713858867702275
"366",1401,2008,1,13,23,46,0,0.713858867702275
"367",1401,2008,2,4,8,16,0,0.713858867702275
"368",1401,2008,3,0,8,12,0,0.713858867702275
"370",1401,2009,1,11,31,54,0,0.713858867702275
"371",1401,2009,2,4,12,18,0,0.713858867702275
"372",1401,2009,3,1,13,17,0,0.713858867702275
"374",1401,2010,1,7,17,37,0,0.713858867702275
"375",1401,2010,2,2,8,13,0,0.713858867702275
"376",1401,2010,3,0,9,14,0,0.713858867702275
"377",1401,2011,2,3,8,17,76.3515041097387,0.713858867702275
"378",1401,2011,3,1,6,8,76.3515041097387,0.713858867702275
"380",1401,2011,1,5,14,26,76.3515041097387,0.713858867702275
"381",1401,2012,2,5,10,21,80.670765829203,0.713858867702275
"382",1401,2012,3,5,15,22,80.670765829203,0.713858867702275
"384",1401,2012,1,11,22,50,80.670765829203,0.713858867702275
"386",1401,2013,1,14,23,53,78.2800455502965,0.713858867702275
"387",1401,2013,3,4,12,19,78.2800455502965,0.713858867702275
"388",1401,2013,2,3,16,23,78.2800455502965,0.713858867702275
"389",1401,2014,3,4,9,15,78.2540478254364,0.713858867702275
"391",1401,2014,1,15,28,57,78.2540478254364,0.713858867702275
"392",1401,2014,2,4,8,13,78.2540478254364,0.713858867702275
"393",1401,2015,2,1,5,7,91.3317462292762,0.713858867702275
"395",1401,2015,3,3,9,14,91.3317462292762,0.713858867702275
"396",1401,2015,1,8,20,39,91.3317462292762,0.713858867702275
"398",1402,2005,1,5,2,7,0,0.630557890176541
"399",1402,2005,2,1,4,5,0,0.630557890176541
"400",1402,2005,3,1,2,3,0,0.630557890176541
"402",1402,2006,1,3,5,14,0,0.630557890176541
"403",1402,2006,2,2,4,9,0,0.630557890176541
"404",1402,2006,3,0,3,5,0,0.630557890176541
"406",1402,2007,1,0,5,8,0,0.630557890176541
"407",1402,2007,2,0,1,1,0,0.630557890176541
"408",1402,2007,3,1,3,4,0,0.630557890176541
"410",1402,2008,1,0,2,4,0,0.630557890176541
"411",1402,2008,2,1,1,2,0,0.630557890176541
"412",1402,2008,3,0,3,3,0,0.630557890176541
"414",1402,2009,1,0,2,5,0,0.630557890176541
"415",1402,2009,2,1,3,4,0,0.630557890176541
"416",1402,2009,3,0,5,5,0,0.630557890176541
"418",1402,2010,1,1,3,4,0,0.630557890176541
"419",1402,2010,2,0,1,2,0,0.630557890176541
"420",1402,2010,3,0,3,3,0,0.630557890176541
"421",1402,2011,2,3,2,5,73.7307115780353,0.630557890176541
"422",1402,2011,3,0,3,3,73.7307115780353,0.630557890176541
"424",1402,2011,1,1,1,4,73.7307115780353,0.630557890176541
"425",1402,2012,1,0,5,6,78.8754193948584,0.630557890176541
"427",1402,2012,2,1,2,4,78.8754193948584,0.630557890176541
"428",1402,2012,3,0,1,2,78.8754193948584,0.630557890176541
"429",1402,2013,3,0,4,4,97.5686688065536,0.630557890176541
"430",1402,2013,2,0,1,2,97.5686688065536,0.630557890176541
"431",1402,2013,1,2,1,7,97.5686688065536,0.630557890176541
"433",1402,2014,1,2,2,8,101.084890560539,0.630557890176541
"434",1402,2014,3,0,3,3,101.084890560539,0.630557890176541
"435",1402,2014,2,0,2,3,101.084890560539,0.630557890176541
"437",1402,2015,3,0,1,3,95.0304584346662,0.630557890176541
"439",1402,2015,1,1,2,6,95.0304584346662,0.630557890176541
"440",1402,2015,2,1,1,3,95.0304584346662,0.630557890176541
"442",1501,2005,1,11,49,75,0,0.624424968742621
"443",1501,2005,2,7,16,29,0,0.624424968742621
"444",1501,2005,3,2,23,29,0,0.624424968742621
"446",1501,2006,1,11,35,55,0,0.624424968742621
"447",1501,2006,2,8,17,30,0,0.624424968742621
"448",1501,2006,3,5,24,32,0,0.624424968742621
"450",1501,2007,1,9,38,63,0,0.624424968742621
"451",1501,2007,2,7,19,34,0,0.624424968742621
"452",1501,2007,3,2,22,33,0,0.624424968742621
"454",1501,2008,1,7,39,57,0,0.624424968742621
"455",1501,2008,2,0,17,23,0,0.624424968742621
"456",1501,2008,3,0,23,29,0,0.624424968742621
"458",1501,2009,1,11,28,54,0,0.624424968742621
"459",1501,2009,2,3,16,27,0,0.624424968742621
"460",1501,2009,3,3,19,27,0,0.624424968742621
"462",1501,2010,1,7,17,36,0,0.624424968742621
"463",1501,2010,2,5,13,20,0,0.624424968742621
"464",1501,2010,3,2,24,35,0,0.624424968742621
"465",1501,2011,3,4,17,25,44.332222041581,0.624424968742621
"467",1501,2011,1,7,20,38,44.332222041581,0.624424968742621
"468",1501,2011,2,7,13,25,44.332222041581,0.624424968742621
"469",1501,2012,2,2,9,15,75.702036471458,0.624424968742621
"470",1501,2012,1,8,24,38,75.702036471458,0.624424968742621
"472",1501,2012,3,5,16,23,75.702036471458,0.624424968742621
"474",1501,2013,1,14,16,42,78.2129795475454,0.624424968742621
"475",1501,2013,3,4,15,23,78.2129795475454,0.624424968742621
"476",1501,2013,2,3,13,21,78.2129795475454,0.624424968742621
"477",1501,2014,1,7,27,45,75.1357408418138,0.624424968742621
"478",1501,2014,2,4,6,13,75.1357408418138,0.624424968742621
"480",1501,2014,3,5,17,25,75.1357408418138,0.624424968742621
"481",1501,2015,1,4,26,38,64.8467973476711,0.624424968742621
"482",1501,2015,2,0,11,14,64.8467973476711,0.624424968742621
"483",1501,2015,3,2,17,27,64.8467973476711,0.624424968742621
"486",1502,2005,1,11,35,54,0,0.512359930299617
"487",1502,2005,2,4,23,30,0,0.512359930299617
"488",1502,2005,3,5,33,42,0,0.512359930299617
"490",1502,2006,1,9,37,56,0,0.512359930299617
"491",1502,2006,2,3,19,30,0,0.512359930299617
"492",1502,2006,3,1,13,18,0,0.512359930299617
"494",1502,2007,1,10,30,61,0,0.512359930299617
"495",1502,2007,2,5,19,26,0,0.512359930299617
"496",1502,2007,3,3,15,27,0,0.512359930299617
"498",1502,2008,1,15,30,55,0,0.512359930299617
"499",1502,2008,2,4,18,25,0,0.512359930299617
"500",1502,2008,3,3,20,33,0,0.512359930299617
"502",1502,2009,1,17,21,56,0,0.512359930299617
"503",1502,2009,2,3,13,25,0,0.512359930299617
"504",1502,2009,3,2,18,27,0,0.512359930299617
"506",1502,2010,1,5,19,36,0,0.512359930299617
"507",1502,2010,2,7,16,36,0,0.512359930299617
"508",1502,2010,3,7,13,30,0,0.512359930299617
"510",1502,2011,2,6,10,23,38.9903785583832,0.512359930299617
"511",1502,2011,3,3,21,30,38.9903785583832,0.512359930299617
"512",1502,2011,1,11,19,39,38.9903785583832,0.512359930299617
"514",1502,2012,1,18,13,49,63.7025816664662,0.512359930299617
"515",1502,2012,3,2,19,28,63.7025816664662,0.512359930299617
"516",1502,2012,2,6,9,20,63.7025816664662,0.512359930299617
"517",1502,2013,3,5,21,31,76.9011423280365,0.512359930299617
"518",1502,2013,1,11,22,43,76.9011423280365,0.512359930299617
"520",1502,2013,2,5,11,19,76.9011423280365,0.512359930299617
"521",1502,2014,3,6,22,30,47.8390179427451,0.512359930299617
"523",1502,2014,2,5,16,29,47.8390179427451,0.512359930299617
"524",1502,2014,1,6,23,37,47.8390179427451,0.512359930299617
"526",1502,2015,3,7,13,26,54.6654300863599,0.512359930299617
"527",1502,2015,2,4,6,16,54.6654300863599,0.512359930299617
"528",1502,2015,1,8,25,43,54.6654300863599,0.512359930299617
"530",1503,2005,1,27,95,166,0,0.718593910410625
"531",1503,2005,2,11,44,65,0,0.718593910410625
"532",1503,2005,3,8,50,77,0,0.718593910410625
"534",1503,2006,1,16,74,126,0,0.718593910410625
"535",1503,2006,2,6,34,51,0,0.718593910410625
"536",1503,2006,3,12,55,79,0,0.718593910410625
"538",1503,2007,1,30,60,122,0,0.718593910410625
"539",1503,2007,2,12,26,52,0,0.718593910410625
"540",1503,2007,3,6,35,52,0,0.718593910410625
"542",1503,2008,1,23,77,134,0,0.718593910410625
"543",1503,2008,2,12,40,77,0,0.718593910410625
"544",1503,2008,3,8,39,68,0,0.718593910410625
"546",1503,2009,1,24,62,112,0,0.718593910410625
"547",1503,2009,2,12,30,54,0,0.718593910410625
"548",1503,2009,3,9,40,61,0,0.718593910410625
"550",1503,2010,1,21,68,126,0,0.718593910410625
"551",1503,2010,2,8,27,45,0,0.718593910410625
"552",1503,2010,3,6,41,62,0,0.718593910410625
"553",1503,2011,3,10,35,58,56.0826275661428,0.718593910410625
"555",1503,2011,2,12,14,41,56.0826275661428,0.718593910410625
"556",1503,2011,1,23,51,106,56.0826275661428,0.718593910410625
"558",1503,2012,2,11,21,50,70.7891429817023,0.718593910410625
"559",1503,2012,3,19,45,91,70.7891429817023,0.718593910410625
"560",1503,2012,1,16,63,113,70.7891429817023,0.718593910410625
"561",1503,2013,2,8,14,42,75.4363609200841,0.718593910410625
"562",1503,2013,1,23,53,102,75.4363609200841,0.718593910410625
"564",1503,2013,3,13,22,50,75.4363609200841,0.718593910410625
"565",1503,2014,1,19,53,102,76.1850434458001,0.718593910410625
"567",1503,2014,3,12,33,55,76.1850434458001,0.718593910410625
"568",1503,2014,2,7,13,26,76.1850434458001,0.718593910410625
"569",1503,2015,2,4,18,29,51.8399310441992,0.718593910410625
"570",1503,2015,1,18,49,102,51.8399310441992,0.718593910410625
"572",1503,2015,3,5,35,54,51.8399310441992,0.718593910410625
"574",1504,2005,1,29,101,172,0,0.571454419556748
"575",1504,2005,2,12,58,81,0,0.571454419556748
"576",1504,2005,3,11,62,90,0,0.571454419556748
"578",1504,2006,1,35,111,179,0,0.571454419556748
"579",1504,2006,2,12,41,67,0,0.571454419556748
"580",1504,2006,3,8,62,83,0,0.571454419556748
"582",1504,2007,1,30,107,174,0,0.571454419556748
"583",1504,2007,2,8,34,51,0,0.571454419556748
"584",1504,2007,3,11,57,81,0,0.571454419556748
"586",1504,2008,1,32,77,157,0,0.571454419556748
"587",1504,2008,2,9,43,66,0,0.571454419556748
"588",1504,2008,3,6,45,69,0,0.571454419556748
"590",1504,2009,1,22,72,119,0,0.571454419556748
"591",1504,2009,2,12,41,71,0,0.571454419556748
"592",1504,2009,3,10,45,77,0,0.571454419556748
"594",1504,2010,1,22,57,110,0,0.571454419556748
"595",1504,2010,2,14,29,63,0,0.571454419556748
"596",1504,2010,3,10,46,77,0,0.571454419556748
"597",1504,2011,1,19,68,108,41.0705871740843,0.571454419556748
"598",1504,2011,3,7,40,67,41.0705871740843,0.571454419556748
"599",1504,2011,2,8,32,47,41.0705871740843,0.571454419556748
"601",1504,2012,2,7,29,49,71.8672415098049,0.571454419556748
"603",1504,2012,3,10,52,78,71.8672415098049,0.571454419556748
"604",1504,2012,1,17,71,115,71.8672415098049,0.571454419556748
"605",1504,2013,2,9,22,39,75.4546205954813,0.571454419556748
"607",1504,2013,1,26,55,104,75.4546205954813,0.571454419556748
"608",1504,2013,3,11,53,81,75.4546205954813,0.571454419556748
"609",1504,2014,2,14,23,51,72.4355734144599,0.571454419556748
"611",1504,2014,1,18,56,105,72.4355734144599,0.571454419556748
"612",1504,2014,3,15,37,64,72.4355734144599,0.571454419556748
"613",1504,2015,2,6,24,36,61.7345574229392,0.571454419556748
"615",1504,2015,3,13,31,55,61.7345574229392,0.571454419556748
"616",1504,2015,1,25,50,95,61.7345574229392,0.571454419556748
"618",1505,2005,1,12,40,69,0,0.601584196190568
"619",1505,2005,2,4,12,21,0,0.601584196190568
"620",1505,2005,3,3,22,31,0,0.601584196190568
"622",1505,2006,1,12,30,54,0,0.601584196190568
"623",1505,2006,2,3,13,24,0,0.601584196190568
"624",1505,2006,3,1,13,19,0,0.601584196190568
"626",1505,2007,1,14,29,59,0,0.601584196190568
"627",1505,2007,2,4,9,19,0,0.601584196190568
"628",1505,2007,3,3,17,23,0,0.601584196190568
