"","mesoregion","Year","agec","j12_j18","ach.noj","e40_46","r95_99","a00_b99","all.deaths","PCV2 coverage","PCV3 coverage","log.gdp"
"67","Amazonas_med",2009,3,1,3,0,1,0,4,0,0,7858.7662943653
"68","Amazonas_med",2009,1,0,7,0,0,0,7,0,0,7858.7662943653
"69","Amazonas_med",2010,2,0,4,1,2,1,8,0,0,7858.7662943653
"70","Amazonas_med",2010,1,0,10,0,0,0,11,0,0,7858.7662943653
"71","Amazonas_med",2010,3,2,1,0,0,0,3,0,0,7858.7662943653
"72","Amazonas_med",2010,4,0,1,0,0,0,3,0,0,7858.7662943653
"73","Amazonas_med",2011,3,2,1,1,1,0,4,92.8161576134128,89.0492838254738,7858.7662943653
"74","Amazonas_med",2011,4,0,2,0,0,1,2,92.8161576134128,89.0492838254738,7858.7662943653
"75","Amazonas_med",2011,2,1,3,0,0,3,4,92.8161576134128,89.0492838254738,7858.7662943653
"76","Amazonas_med",2011,1,0,6,0,0,0,7,92.8161576134128,89.0492838254738,7858.7662943653
"77","Amazonas_med",2012,1,0,8,0,0,0,9,101.6,88.5904939100124,7858.7662943653
"78","Amazonas_med",2012,3,0,2,2,0,1,6,101.6,88.5904939100124,7858.7662943653
"79","Amazonas_med",2012,2,0,2,3,0,2,8,101.6,88.5904939100124,7858.7662943653
"80","Amazonas_med",2012,4,1,1,1,0,0,2,101.6,88.5904939100124,7858.7662943653
"81","Amazonas_med",2013,1,2,10,0,1,0,13,85.3883028166193,100.477094434873,7858.7662943653
"82","Amazonas_med",2013,4,2,3,0,0,0,7,85.3883028166193,100.477094434873,7858.7662943653
"83","Amazonas_med",2013,3,1,3,2,0,1,6,85.3883028166193,100.477094434873,7858.7662943653
"84","Amazonas_med",2013,2,2,5,3,0,2,10,85.3883028166193,100.477094434873,7858.7662943653
"85","Amazonas_med",2014,3,0,0,1,0,0,1,90.5351596618454,83.0322268520373,7858.7662943653
"86","Amazonas_med",2014,4,1,3,1,0,0,5,90.5351596618454,83.0322268520373,7858.7662943653
"87","Amazonas_med",2014,2,3,5,2,1,1,11,90.5351596618454,83.0322268520373,7858.7662943653
"88","Amazonas_med",2014,1,0,10,0,1,0,10,90.5351596618454,83.0322268520373,7858.7662943653
"89","Amazonas_med",2015,1,0,6,0,0,0,6,91.2405024239753,92.0912356264274,7858.7662943653
"90","Amazonas_med",2015,3,0,4,1,1,1,5,91.2405024239753,92.0912356264274,7858.7662943653
"91","Amazonas_med",2015,2,1,4,1,0,1,7,91.2405024239753,92.0912356264274,7858.7662943653
"92","Amazonas_med",2015,4,1,4,0,0,0,5,91.2405024239753,92.0912356264274,7858.7662943653
"97","Antioquia_high",2005,4,5,49,1,1,10,77,0,0,17126.2661173045
"98","Antioquia_high",2005,2,34,107,14,3,29,185,0,0,17126.2661173045
"99","Antioquia_high",2005,3,5,31,3,0,5,56,0,0,17126.2661173045
"100","Antioquia_high",2005,1,7,539,1,2,19,564,0,0,17126.2661173045
"101","Antioquia_high",2006,4,14,58,3,2,3,89,0,0,17126.2661173045
"102","Antioquia_high",2006,2,34,131,12,8,21,213,0,0,17126.2661173045
"103","Antioquia_high",2006,1,6,530,0,2,12,544,0,0,17126.2661173045
"104","Antioquia_high",2006,3,13,36,3,0,5,61,0,0,17126.2661173045
"105","Antioquia_high",2007,4,5,76,1,1,10,93,0,0,17126.2661173045
"106","Antioquia_high",2007,2,33,142,5,5,28,218,0,0,17126.2661173045
"107","Antioquia_high",2007,3,10,39,1,0,4,56,0,0,17126.2661173045
"108","Antioquia_high",2007,1,8,513,0,1,8,539,0,0,17126.2661173045
"109","Antioquia_high",2008,3,9,67,7,1,8,100,0,0,17126.2661173045
"110","Antioquia_high",2008,1,7,339,0,1,9,355,0,0,17126.2661173045
"111","Antioquia_high",2008,4,10,75,2,3,9,109,0,0,17126.2661173045
"112","Antioquia_high",2008,2,21,181,6,5,16,250,0,0,17126.2661173045
"113","Antioquia_high",2009,3,11,45,2,1,8,72,0,0,17126.2661173045
"114","Antioquia_high",2009,4,8,56,1,2,7,73,0,0,17126.2661173045
"115","Antioquia_high",2009,1,9,403,0,1,6,428,0,0,17126.2661173045
"116","Antioquia_high",2009,2,25,115,3,2,18,181,0,0,17126.2661173045
"117","Antioquia_high",2010,3,4,38,1,0,0,59,0,0,17126.2661173045
"118","Antioquia_high",2010,1,4,417,0,4,2,436,0,0,17126.2661173045
"119","Antioquia_high",2010,2,17,92,3,4,12,154,0,0,17126.2661173045
"120","Antioquia_high",2010,4,4,45,3,4,5,74,0,0,17126.2661173045
"121","Antioquia_high",2011,3,4,35,4,0,3,53,53.9282756951972,17.2498535409738,17126.2661173045
"122","Antioquia_high",2011,1,3,391,0,3,5,404,53.9282756951972,17.2498535409738,17126.2661173045
"123","Antioquia_high",2011,4,4,37,2,0,2,57,53.9282756951972,17.2498535409738,17126.2661173045
"124","Antioquia_high",2011,2,18,84,3,4,16,145,53.9282756951972,17.2498535409738,17126.2661173045
"125","Antioquia_high",2012,3,5,27,2,1,7,52,94.3189399557103,75.2335908174978,17126.2661173045
"126","Antioquia_high",2012,1,6,383,0,5,12,401,94.3189399557103,75.2335908174978,17126.2661173045
"127","Antioquia_high",2012,4,5,37,0,0,2,51,94.3189399557103,75.2335908174978,17126.2661173045
"128","Antioquia_high",2012,2,16,87,7,3,18,158,94.3189399557103,75.2335908174978,17126.2661173045
"129","Antioquia_high",2013,2,15,85,3,3,16,151,90.4491103581877,84.7290458973948,17126.2661173045
"130","Antioquia_high",2013,1,3,381,1,0,5,393,90.4491103581877,84.7290458973948,17126.2661173045
"131","Antioquia_high",2013,4,4,33,0,0,4,59,90.4491103581877,84.7290458973948,17126.2661173045
"132","Antioquia_high",2013,3,3,34,1,0,3,50,90.4491103581877,84.7290458973948,17126.2661173045
"133","Antioquia_high",2014,3,5,24,0,0,1,46,97.6226083412974,89.1749950734062,17126.2661173045
"134","Antioquia_high",2014,4,1,34,1,0,4,53,97.6226083412974,89.1749950734062,17126.2661173045
"135","Antioquia_high",2014,2,11,83,4,1,9,142,97.6226083412974,89.1749950734062,17126.2661173045
"136","Antioquia_high",2014,1,5,345,1,1,4,353,97.6226083412974,89.1749950734062,17126.2661173045
"137","Antioquia_high",2015,3,4,18,1,0,0,38,97.9953851859744,91.2583551150526,17126.2661173045
"138","Antioquia_high",2015,2,10,79,3,4,9,146,97.9953851859744,91.2583551150526,17126.2661173045
"139","Antioquia_high",2015,4,6,31,0,0,3,55,97.9953851859744,91.2583551150526,17126.2661173045
"140","Antioquia_high",2015,1,6,332,1,1,1,352,97.9953851859744,91.2583551150526,17126.2661173045
"145","Antioquia_med",2005,4,1,43,2,1,3,56,0,0,8328.09249881545
"146","Antioquia_med",2005,1,9,182,0,1,4,197,0,0,8328.09249881545
"147","Antioquia_med",2005,2,25,62,14,3,26,120,0,0,8328.09249881545
"148","Antioquia_med",2005,3,4,45,9,3,10,61,0,0,8328.09249881545
"149","Antioquia_med",2006,4,4,36,1,1,9,48,0,0,8328.09249881545
"150","Antioquia_med",2006,3,4,41,4,0,9,56,0,0,8328.09249881545
"151","Antioquia_med",2006,2,24,96,13,6,25,147,0,0,8328.09249881545
"152","Antioquia_med",2006,1,1,168,1,2,3,171,0,0,8328.09249881545
"153","Antioquia_med",2007,4,0,49,2,3,6,61,0,0,8328.09249881545
"154","Antioquia_med",2007,2,21,78,14,6,26,128,0,0,8328.09249881545
"155","Antioquia_med",2007,3,12,17,1,2,10,45,0,0,8328.09249881545
"156","Antioquia_med",2007,1,3,164,0,2,3,167,0,0,8328.09249881545
"157","Antioquia_med",2008,1,1,87,1,0,2,89,0,0,8328.09249881545
"158","Antioquia_med",2008,2,8,63,12,5,16,91,0,0,8328.09249881545
"159","Antioquia_med",2008,3,4,44,7,2,10,57,0,0,8328.09249881545
"160","Antioquia_med",2008,4,5,40,0,3,4,50,0,0,8328.09249881545
"161","Antioquia_med",2009,1,1,78,2,3,3,87,0,0,8328.09249881545
"162","Antioquia_med",2009,4,1,32,1,2,3,39,0,0,8328.09249881545
"163","Antioquia_med",2009,3,3,31,4,2,3,39,0,0,8328.09249881545
"164","Antioquia_med",2009,2,14,63,8,8,16,103,0,0,8328.09249881545
"165","Antioquia_med",2010,1,2,79,1,4,2,86,0,0,8328.09249881545
"166","Antioquia_med",2010,4,2,37,0,2,4,46,0,0,8328.09249881545
"167","Antioquia_med",2010,2,13,51,4,3,10,80,0,0,8328.09249881545
"168","Antioquia_med",2010,3,5,32,5,1,4,53,0,0,8328.09249881545
"169","Antioquia_med",2011,2,8,40,3,4,7,63,42.4001646458943,9.7939836814158,8328.09249881545
"170","Antioquia_med",2011,3,2,19,0,1,3,23,42.4001646458943,9.7939836814158,8328.09249881545
"171","Antioquia_med",2011,1,4,80,0,3,2,92,42.4001646458943,9.7939836814158,8328.09249881545
"172","Antioquia_med",2011,4,3,32,2,0,3,42,42.4001646458943,9.7939836814158,8328.09249881545
"173","Antioquia_med",2012,2,11,28,3,3,4,50,94.9344581734141,63.7028470969284,8328.09249881545
"174","Antioquia_med",2012,1,4,76,1,0,2,81,94.9344581734141,63.7028470969284,8328.09249881545
"175","Antioquia_med",2012,3,2,12,1,0,3,26,94.9344581734141,63.7028470969284,8328.09249881545
"176","Antioquia_med",2012,4,2,32,1,0,2,44,94.9344581734141,63.7028470969284,8328.09249881545
"177","Antioquia_med",2013,3,4,24,3,2,4,34,90.1696774365575,72.6394504098201,8328.09249881545
"178","Antioquia_med",2013,1,4,60,0,3,3,67,90.1696774365575,72.6394504098201,8328.09249881545
"179","Antioquia_med",2013,2,8,36,3,4,8,55,90.1696774365575,72.6394504098201,8328.09249881545
"180","Antioquia_med",2013,4,0,24,0,1,4,27,90.1696774365575,72.6394504098201,8328.09249881545
"181","Antioquia_med",2014,1,2,81,0,0,1,85,85.8241490440026,84.5593633954241,8328.09249881545
"182","Antioquia_med",2014,3,1,28,5,2,4,36,85.8241490440026,84.5593633954241,8328.09249881545
"183","Antioquia_med",2014,4,0,27,1,0,2,33,85.8241490440026,84.5593633954241,8328.09249881545
"184","Antioquia_med",2014,2,6,33,5,5,8,49,85.8241490440026,84.5593633954241,8328.09249881545
"185","Antioquia_med",2015,2,4,29,3,4,6,42,94.0638311615689,94.4141245218199,8328.09249881545
"186","Antioquia_med",2015,3,2,15,3,2,2,23,94.0638311615689,94.4141245218199,8328.09249881545
