"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"14.low",2006,0,2,8,0,0,3,0,0,1,3,1,1,11
"14.med",2006,0,8,89,0,0,10,0,0,2,49,0,15,104
"15.high",2006,0,23,727,0,0,34,0,12,2,428,14,201,773
"15.med",2006,0,3,14,0,0,3,0,0,0,7,1,3,17
"16.high",2006,0,0,6,0,0,0,0,1,0,3,0,1,6
"16.low",2006,0,1,2,0,0,1,0,0,0,1,1,0,3
"16.med",2006,0,3,7,0,0,5,0,0,0,4,0,2,12
"17.high",2006,0,0,2,0,0,0,0,0,0,2,0,0,2
"18.high",2006,0,0,28,0,0,0,0,0,0,13,0,8,29
"18.med",2006,0,2,3,0,0,2,0,0,0,2,0,0,5
"19.low",2006,0,1,16,0,0,2,0,0,0,11,0,1,20
"19.med",2006,0,2,34,0,0,2,0,2,0,19,3,5,37
"20.high",2006,0,7,100,0,0,12,0,2,0,68,0,19,116
"20.low",2006,0,2,30,0,0,4,0,0,1,17,3,1,36
"20.med",2006,0,10,117,0,0,12,0,0,1,86,4,11,134
"21.low",2006,0,12,222,0,1,13,0,1,5,99,9,14,247
"21.med",2006,0,34,260,1,2,42,0,4,11,127,13,19,318
"22.high",2006,0,1,51,0,0,3,0,0,0,42,1,3,57
"22.low",2006,0,0,3,0,0,0,0,0,0,1,0,0,3
"22.med",2006,0,0,37,0,0,2,0,1,0,17,5,3,41
"23.high",2006,0,1,47,0,0,1,0,0,1,25,0,12,52
"23.med",2006,0,0,4,0,0,0,0,0,0,4,0,0,4
"24.high",2006,0,0,34,0,0,0,0,2,0,26,1,4,34
"24.med",2006,0,0,1,0,0,0,0,0,0,1,0,0,1
"25.high",2006,0,11,86,0,0,13,0,2,2,54,5,8,102
"25.med",2006,0,2,15,0,0,2,0,1,0,7,0,1,17
"01.high",2007,0,0,22,0,0,0,0,0,0,15,0,6,26
"01.low",2007,0,4,29,0,0,4,0,0,0,14,2,4,35
"01.med",2007,0,1,16,0,0,2,0,0,0,9,0,3,20
"02.high",2007,0,4,88,0,1,4,0,0,0,53,1,23,94
