"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"15.high",2011,0,31,637,5,7,46,0,8,6,350,33,124,703
"15.low",2011,0,0,1,0,0,0,0,0,0,1,0,0,1
"15.med",2011,0,2,29,0,0,2,0,0,0,12,2,7,33
"16.high",2011,0,2,11,0,0,2,0,1,0,4,1,2,13
"16.low",2011,0,3,12,0,0,3,0,0,0,6,1,1,15
"16.med",2011,0,0,29,0,0,2,0,1,1,16,0,7,31
"17.high",2011,0,0,38,0,0,0,0,0,0,16,1,8,39
"18.high",2011,0,0,21,0,0,0,0,0,0,10,0,6,21
"19.high",2011,0,1,0,0,0,1,0,0,0,0,0,0,2
"19.low",2011,0,1,10,0,0,1,0,1,0,6,0,2,11
"19.med",2011,0,0,26,0,0,1,0,0,0,15,1,1,28
"20.high",2011,0,4,112,0,0,10,2,2,0,72,2,22,127
"20.low",2011,0,9,33,2,1,10,0,0,1,15,0,5,46
"20.med",2011,0,8,139,1,1,16,0,5,2,86,2,9,157
"21.low",2011,0,3,123,1,0,6,0,2,1,62,5,11,136
"21.med",2011,0,11,178,2,1,15,0,6,2,102,3,12,205
"22.high",2011,0,2,69,0,0,2,0,0,2,51,0,8,72
"22.low",2011,0,2,8,0,0,2,0,0,0,8,0,0,10
"22.med",2011,0,8,48,0,0,10,0,0,1,33,0,6,59
"23.high",2011,0,1,45,1,0,2,0,0,0,29,2,9,47
"24.high",2011,0,1,36,0,0,1,0,0,1,27,1,1,38
"24.med",2011,0,0,1,0,0,0,0,0,0,0,0,1,1
"25.high",2011,0,11,107,1,0,17,2,1,2,72,11,12,128
"25.med",2011,0,1,7,0,1,3,0,1,0,2,1,1,10
"01.high",2012,0,0,10,0,0,0,0,0,0,5,1,3,12
"01.low",2012,0,0,4,0,0,1,0,0,0,1,0,0,7
"01.med",2012,0,2,10,0,0,3,0,1,0,5,1,0,13
"02.high",2012,0,4,83,0,0,7,2,2,1,63,2,11,92
"02.low",2012,0,1,8,0,0,2,0,1,0,4,0,1,10
"02.med",2012,0,2,46,1,0,4,0,0,0,28,3,5,51
"03.low",2012,0,2,26,0,1,2,0,1,0,7,0,5,30
"03.med",2012,0,0,19,0,0,0,0,0,0,7,1,7,19
"04.high",2012,0,8,201,0,2,11,0,6,0,119,3,43,216
"04.low",2012,0,0,6,0,0,0,0,0,0,5,0,0,6
"04.med",2012,0,0,15,0,0,2,0,2,0,3,0,3,17
"05.high",2012,0,0,1,0,0,0,0,0,0,0,0,1,1
"05.low",2012,0,2,21,0,1,5,0,0,0,11,1,0,26
"05.med",2012,0,1,42,0,1,3,1,2,0,27,0,3,46
"06.low",2012,0,7,39,0,0,8,2,0,0,24,0,4,47
"06.med",2012,0,1,82,0,1,7,12,2,0,41,2,12,91
"07.high",2012,0,3,99,0,0,4,0,1,1,54,1,35,104
"08.high",2012,0,0,36,0,0,0,0,1,0,21,2,4,45
"08.low",2012,0,3,65,0,0,5,0,4,0,25,1,6,71
"08.med",2012,0,3,82,0,2,7,0,1,1,47,2,4,94
"09.low",2012,0,3,76,1,1,7,0,0,2,41,1,7,85
"09.med",2012,0,1,14,0,0,2,0,1,0,9,0,1,17
"10.high",2012,0,2,16,0,0,3,0,0,0,9,0,5,20
"10.low",2012,0,6,50,0,3,7,0,3,0,21,0,5,57
"10.med",2012,0,2,27,0,0,5,0,1,0,12,1,4,34
"11.high",2012,0,5,143,0,1,7,0,0,2,85,3,33,151
"11.med",2012,0,0,1,0,0,0,0,0,0,1,0,0,1
"12.high",2012,0,2,102,0,1,5,0,1,1,60,0,16,109
"12.low",2012,0,0,9,0,0,0,0,1,0,4,0,0,9
"12.med",2012,0,10,75,0,1,15,0,1,0,41,2,7,95
"13.high",2012,0,3,102,0,1,5,0,0,0,70,1,22,109
"13.low",2012,0,8,32,0,4,8,0,0,0,18,1,1,40
"13.med",2012,0,6,44,0,0,8,0,1,0,23,1,10,53
"14.high",2012,0,4,85,0,1,16,0,0,1,52,0,28,102
"14.low",2012,0,2,5,0,0,2,0,0,0,3,0,1,7
"14.med",2012,0,2,100,1,1,5,0,5,0,49,4,23,107
"15.high",2012,0,27,619,1,14,53,2,7,1,317,13,165,687
"15.low",2012,0,0,1,0,0,0,0,0,0,1,0,0,1
"15.med",2012,0,1,35,0,1,3,0,1,0,20,1,7,42
"16.high",2012,0,0,4,0,0,2,0,0,0,3,0,0,6
"16.low",2012,0,4,21,0,0,7,0,1,0,14,1,2,28
"16.med",2012,0,0,10,0,0,0,0,0,0,6,2,1,12
"17.high",2012,0,2,25,1,0,2,0,0,0,15,2,2,28
"17.med",2012,0,0,1,0,0,0,0,0,0,0,0,0,1
"18.high",2012,0,1,18,0,0,1,0,0,0,8,0,5,19
"18.med",2012,0,0,3,0,0,0,0,0,0,0,0,0,3
"19.high",2012,0,0,1,0,0,0,0,0,0,0,0,1,1
"19.low",2012,0,0,11,0,1,1,0,0,0,6,0,0,13
"19.med",2012,0,1,31,1,0,3,0,0,0,18,0,5,34
"20.high",2012,0,0,102,0,0,7,0,2,1,60,0,29,114
"20.low",2012,0,4,37,1,4,8,0,0,2,12,2,2,47
"20.med",2012,0,8,106,0,1,20,2,0,1,69,5,18,133
"21.low",2012,0,5,106,1,3,9,0,2,1,51,1,7,117
"21.med",2012,0,8,220,3,6,14,1,2,1,142,3,19,243
"22.high",2012,0,0,23,0,0,1,0,0,0,18,0,3,25
"22.low",2012,0,0,4,0,0,0,0,0,0,4,0,0,4
"22.med",2012,0,2,30,0,1,2,0,0,0,19,0,3,32
"23.high",2012,0,2,57,0,1,3,0,0,0,37,0,13,60
"23.low",2012,0,0,4,0,0,0,0,0,0,3,0,1,4
"24.high",2012,0,4,15,0,0,5,0,0,0,11,1,3,20
"24.med",2012,0,0,3,1,0,0,0,0,0,1,0,1,3
"25.high",2012,0,6,87,1,0,11,2,0,0,61,9,7,101
"25.low",2012,0,0,3,0,0,0,0,0,0,1,0,1,3
"25.med",2012,0,2,14,0,0,3,0,1,0,11,0,1,17
"01.high",2013,0,0,9,0,0,0,0,0,0,5,0,3,9
"01.low",2013,0,2,10,0,0,2,0,1,0,3,3,0,12
"01.med",2013,0,1,16,0,0,1,0,0,0,9,2,3,19
"02.high",2013,0,0,86,0,0,4,0,0,0,66,1,10,92
"02.low",2013,0,1,8,0,0,1,0,0,0,4,0,1,10
"02.med",2013,0,3,40,0,0,4,0,0,0,28,3,2,46
"03.low",2013,0,3,18,0,0,3,0,3,0,8,0,1,22
"03.med",2013,0,1,10,0,0,1,0,0,0,6,0,2,12
"04.high",2013,0,6,163,0,0,8,0,0,0,85,2,52,173
"04.low",2013,0,0,3,1,0,0,0,0,0,1,0,0,3
"04.med",2013,0,1,11,0,0,1,0,0,0,6,0,4,12
"05.low",2013,0,3,24,0,0,6,0,0,0,15,0,2,30
"05.med",2013,0,3,29,0,0,6,0,0,0,14,3,4,35
"06.high",2013,0,0,1,1,0,0,0,0,0,0,0,0,1
"06.low",2013,0,7,24,0,1,12,0,0,0,17,1,1,39
"06.med",2013,0,5,95,1,3,9,2,1,0,60,3,12,105
"07.high",2013,0,8,133,0,1,9,0,1,0,69,4,47,144
"08.high",2013,0,4,34,0,0,7,0,0,0,20,1,3,41
"08.low",2013,0,6,53,0,1,9,0,2,0,26,1,3,62
"08.med",2013,0,6,92,0,0,8,0,2,1,42,2,18,108
"09.low",2013,0,8,66,0,0,10,0,0,0,33,1,8,77
"09.med",2013,0,0,18,0,0,1,0,0,0,13,0,1,20
"10.high",2013,0,1,18,0,0,1,0,1,0,8,0,7,22
"10.low",2013,0,4,55,0,0,6,0,0,0,28,1,6,63
"10.med",2013,0,3,21,0,0,4,0,0,0,13,0,3,26
"11.high",2013,0,4,145,0,0,7,0,0,1,90,6,31,154
"12.high",2013,0,5,110,0,0,9,0,0,1,67,2,26,124
"12.low",2013,0,0,10,0,1,0,0,0,0,7,0,2,10
"12.med",2013,0,6,60,0,0,8,0,0,1,30,1,9,69
"13.high",2013,0,0,109,0,1,2,0,0,0,65,3,30,111
"13.low",2013,0,6,29,0,0,7,0,1,0,11,1,7,37
"13.med",2013,0,5,69,1,1,8,0,1,1,29,1,14,81
"14.high",2013,0,1,101,0,1,6,0,0,0,58,0,31,107
"14.low",2013,0,4,7,0,1,6,0,0,0,4,1,1,13
"14.med",2013,0,10,60,0,1,15,1,1,0,36,1,12,78
"15.high",2013,0,37,701,1,6,65,0,6,0,367,22,217,773
"15.med",2013,0,6,47,0,0,7,0,2,0,25,2,7,55
"16.high",2013,0,1,1,0,0,2,0,0,0,0,0,1,3
"16.low",2013,0,2,7,0,0,2,0,0,0,3,0,0,10
"16.med",2013,0,1,11,0,0,4,0,0,0,5,1,1,15
"17.high",2013,0,1,25,0,0,1,0,1,0,10,0,7,27
"18.high",2013,0,0,9,0,0,0,0,0,0,5,0,1,9
"18.med",2013,0,0,1,0,0,0,0,0,0,1,0,0,1
"19.low",2013,0,3,9,0,0,3,0,0,0,6,0,1,12
"19.med",2013,0,1,21,0,0,2,0,0,0,17,0,1,24
"20.high",2013,0,4,79,0,0,8,0,1,1,53,1,18,88
"20.low",2013,0,5,28,0,0,6,0,1,0,12,0,3,35
"20.med",2013,0,10,72,0,0,12,1,0,0,45,5,9,85
"21.low",2013,0,2,103,0,0,2,0,2,0,43,6,12,108
"21.med",2013,0,11,223,0,1,16,0,1,1,130,6,27,249
"22.high",2013,0,2,25,0,1,4,0,0,0,12,3,7,32
"22.low",2013,0,0,4,0,0,0,0,0,0,2,0,0,5
"22.med",2013,0,6,28,0,0,10,0,0,0,15,2,5,39
"23.high",2013,0,2,56,0,0,2,0,0,0,39,0,9,60
"23.low",2013,0,0,1,0,0,0,0,0,0,0,0,1,1
"24.high",2013,0,0,8,0,0,1,0,0,0,5,0,2,9
"24.med",2013,0,0,1,0,0,0,0,0,0,1,0,0,1
"25.high",2013,0,6,96,0,0,9,0,0,0,75,6,5,105
"25.low",2013,0,0,1,0,0,0,0,0,0,0,1,0,1
"25.med",2013,0,2,10,0,0,2,0,0,0,8,0,2,12
"01.high",2014,0,1,5,0,0,1,0,0,0,3,0,1,7
"01.low",2014,0,4,11,0,0,5,0,0,0,6,0,1,16
"01.med",2014,0,1,17,0,0,1,0,0,0,11,0,3,18
"02.high",2014,0,2,76,0,0,3,0,0,0,49,0,19,80
"02.low",2014,0,4,9,0,0,5,0,0,0,7,0,0,15
"02.med",2014,0,1,39,0,0,4,0,0,0,23,0,8,43
"03.low",2014,0,2,23,1,0,2,0,0,0,14,0,5,25
"03.med",2014,0,0,22,0,0,1,0,0,0,12,0,5,23
"04.high",2014,0,12,171,0,0,14,0,0,0,95,1,48,187
"04.low",2014,0,0,3,0,0,0,0,0,0,1,0,0,3
"04.med",2014,0,3,19,0,0,3,0,0,0,12,1,1,22
"05.low",2014,0,1,22,2,0,2,0,0,0,9,0,3,24
"05.med",2014,0,4,27,0,0,5,0,0,0,15,0,4,35
"06.low",2014,0,6,48,0,0,10,0,0,1,32,0,3,60
"06.med",2014,0,9,87,2,0,12,0,0,1,52,0,12,99
"07.high",2014,0,7,130,1,0,9,0,0,0,81,0,39,140
"08.high",2014,0,2,15,0,0,2,0,0,0,8,0,0,18
"08.low",2014,0,5,50,0,0,6,0,0,1,20,0,6,57
"08.med",2014,0,5,66,0,0,7,0,0,0,30,1,3,75
"09.low",2014,0,1,54,0,0,3,0,0,0,33,0,6,60
"09.med",2014,0,0,23,0,0,0,0,0,0,13,0,6,23
"10.high",2014,0,2,18,0,0,3,0,0,0,11,0,4,21
"10.low",2014,0,4,54,0,0,6,0,0,0,29,0,3,62
"10.med",2014,0,1,17,0,0,2,0,0,0,10,0,1,19
"11.high",2014,0,4,104,1,0,4,0,0,0,61,0,30,109
"11.med",2014,0,0,1,0,0,0,0,0,0,0,0,1,1
"12.high",2014,0,8,125,0,0,12,0,0,1,79,2,26,142
"12.low",2014,0,0,7,0,0,0,0,0,0,2,0,2,7
"12.med",2014,0,5,103,0,0,10,0,0,0,56,0,20,117
"13.high",2014,0,6,92,0,0,7,0,0,1,49,1,21,105
"13.low",2014,0,8,36,0,0,9,0,0,0,14,0,4,46
"13.med",2014,0,7,90,0,0,10,0,0,0,50,1,18,101
"14.high",2014,0,6,125,0,0,10,0,0,0,79,0,39,135
"14.low",2014,0,0,4,0,0,1,0,0,0,2,0,1,5
"14.med",2014,0,10,80,0,0,18,0,0,0,39,0,20,101
"15.high",2014,0,45,644,0,0,69,0,0,1,330,2,212,719
"15.med",2014,0,8,33,0,0,10,0,0,0,17,0,9,43
"16.high",2014,0,0,1,0,0,0,0,0,0,0,0,0,2
"16.low",2014,0,3,12,0,0,3,0,0,0,8,0,2,15
"16.med",2014,0,4,4,0,0,4,0,0,0,3,0,0,8
"17.high",2014,0,0,28,0,0,0,0,0,0,21,1,3,29
"18.high",2014,0,0,8,0,0,1,0,0,0,3,0,3,9
"18.med",2014,0,0,1,0,0,0,0,0,0,0,0,0,1
"19.high",2014,0,0,1,0,0,0,0,0,0,1,0,0,1
"19.low",2014,0,3,15,0,0,3,0,0,0,8,0,3,19
"19.med",2014,0,1,39,2,0,1,0,0,0,28,0,1,40
"20.high",2014,0,2,102,0,0,7,0,0,3,71,0,23,110
"20.low",2014,0,4,25,1,0,10,0,0,0,8,0,4,36
"20.med",2014,0,9,67,1,0,10,0,0,0,25,0,16,81
"21.low",2014,0,6,81,0,0,8,0,0,2,34,0,9,93
"21.med",2014,0,13,147,1,0,21,0,0,2,89,0,20,171
"22.high",2014,0,1,21,0,0,3,0,0,0,10,2,4,24
"22.low",2014,0,0,5,0,0,0,0,0,0,1,2,1,5
"22.med",2014,0,5,19,0,0,8,0,0,0,15,0,0,28
"23.high",2014,0,0,38,0,0,0,0,0,0,22,0,9,41
"24.high",2014,0,0,15,0,0,0,0,0,0,8,0,5,15
"25.high",2014,0,2,70,2,0,3,0,0,0,59,1,4,78
"25.low",2014,0,1,0,0,0,1,0,0,0,0,0,0,1
"25.med",2014,0,1,8,1,0,1,0,0,0,6,0,1,9
"01.high",2005,1,6,14,0,0,8,0,0,2,4,0,0,24
"01.low",2005,1,7,18,3,0,9,0,0,0,3,0,2,27
"01.med",2005,1,11,18,0,2,13,0,0,2,2,0,0,37
"02.high",2005,1,4,17,0,1,6,0,0,1,1,4,2,25
"02.low",2005,1,3,8,0,0,3,0,0,0,0,0,3,12
"02.med",2005,1,20,49,3,0,20,0,0,0,3,8,0,72
"03.low",2005,1,17,63,0,2,17,0,1,0,1,2,10,87
"03.med",2005,1,2,7,0,0,2,0,0,1,0,1,0,11
"04.high",2005,1,21,77,0,0,21,0,7,1,0,9,12,104
"04.low",2005,1,2,3,0,0,2,0,0,0,0,0,0,7
"04.med",2005,1,3,10,0,0,3,0,0,0,0,3,1,14
"05.low",2005,1,7,20,1,0,10,0,0,2,1,2,1,32
"05.med",2005,1,14,23,0,0,16,0,0,2,2,0,1,48
"06.high",2005,1,0,0,0,0,0,0,0,0,0,0,0,1
"06.low",2005,1,28,58,3,5,28,0,0,1,3,5,11,101
"06.med",2005,1,42,59,1,1,42,0,4,0,4,4,5,106
"07.high",2005,1,16,17,0,0,17,0,0,0,1,3,5,40
"08.high",2005,1,4,21,0,1,8,0,1,0,1,2,3,31
"08.low",2005,1,19,137,2,0,23,0,4,2,27,11,2,169
"08.med",2005,1,21,99,1,2,22,0,1,0,15,9,9,128
"09.low",2005,1,17,59,1,0,17,0,1,2,4,3,3,83
"09.med",2005,1,3,9,0,0,3,0,0,0,1,1,0,14
"10.high",2005,1,2,5,0,0,2,0,0,0,0,1,2,10
"10.low",2005,1,20,70,7,2,20,0,0,1,0,13,4,105
"10.med",2005,1,12,17,3,0,12,0,2,0,2,1,3,32
"11.high",2005,1,26,37,0,0,31,0,0,1,1,3,3,72
"12.high",2005,1,21,38,0,1,21,0,3,0,7,8,2,67
"12.low",2005,1,2,10,2,0,2,0,0,0,1,1,0,16
"12.med",2005,1,30,69,0,0,31,0,2,1,7,5,4,114
"13.high",2005,1,6,16,1,1,7,0,0,2,2,2,3,24
"13.low",2005,1,8,33,2,1,8,0,0,4,6,6,2,43
"13.med",2005,1,12,37,2,1,12,0,1,0,0,4,4,53
"14.high",2005,1,17,23,0,0,19,0,1,0,1,2,4,44
"14.low",2005,1,3,2,0,0,3,0,0,0,0,1,0,5
"14.med",2005,1,22,51,0,4,25,0,1,1,3,3,5,85
"15.high",2005,1,122,199,0,4,139,0,9,5,15,18,28,368
"15.med",2005,1,4,29,2,1,4,0,1,1,2,3,2,36
"16.high",2005,1,4,5,1,0,4,0,0,0,0,0,1,10
"16.low",2005,1,4,9,0,0,4,0,0,0,0,4,0,17
"16.med",2005,1,2,9,0,0,2,0,0,0,0,3,1,12
"17.high",2005,1,4,17,0,0,6,0,3,0,0,5,0,25
"17.med",2005,1,1,1,0,0,1,0,0,0,0,1,0,2
"18.high",2005,1,4,4,0,0,4,0,0,0,0,0,0,9
"18.med",2005,1,1,4,0,0,1,0,0,1,0,0,0,5
"19.low",2005,1,2,14,0,0,2,0,1,0,0,1,1,20
"19.med",2005,1,11,10,0,0,11,0,1,0,1,0,2,22
"20.high",2005,1,19,22,0,0,20,0,0,1,6,5,0,48
"20.low",2005,1,8,18,0,1,8,0,0,1,3,2,1,29
"20.med",2005,1,31,72,0,0,34,0,1,4,8,18,10,116
"21.low",2005,1,32,186,0,0,32,0,1,9,42,18,8,243
"21.med",2005,1,62,189,0,0,63,0,0,6,10,30,15,279
"22.high",2005,1,5,12,0,0,5,0,1,0,0,3,1,19
"22.low",2005,1,2,1,0,0,2,0,0,0,0,0,1,5
"22.med",2005,1,13,15,0,0,14,0,0,2,0,3,1,34
"23.high",2005,1,2,29,0,0,2,0,2,0,0,2,4,36
"23.med",2005,1,0,1,0,0,0,0,0,0,0,0,0,2
"24.high",2005,1,4,8,0,0,4,0,0,0,0,1,0,14
"25.high",2005,1,58,107,4,0,59,0,0,0,2,46,0,182
"25.med",2005,1,10,10,0,0,10,0,0,0,0,1,0,22
"01.high",2006,1,3,0,0,0,3,0,0,0,0,0,0,3
"01.low",2006,1,0,2,0,0,0,0,0,0,0,0,0,3
"01.med",2006,1,0,0,0,0,0,0,0,0,0,0,0,1
"02.high",2006,1,2,9,0,0,2,0,0,1,2,1,0,14
"02.low",2006,1,5,2,0,0,5,0,0,0,1,0,0,8
"02.med",2006,1,13,23,4,0,13,0,0,1,1,9,2,40
"03.low",2006,1,6,34,0,0,7,0,0,0,3,0,3,44
"03.med",2006,1,6,6,0,0,6,0,1,0,2,0,0,14
"04.high",2006,1,12,67,0,0,12,0,6,0,0,4,7,90
"04.low",2006,1,2,6,0,1,2,0,0,0,0,0,0,8
"04.med",2006,1,0,11,0,0,0,0,1,1,0,2,2,14
"05.low",2006,1,8,28,1,0,8,0,0,0,2,2,1,43
"05.med",2006,1,12,25,3,0,13,0,3,0,1,1,2,45
"06.low",2006,1,32,91,4,3,35,0,4,2,4,18,0,150
"06.med",2006,1,41,59,2,5,42,0,2,0,1,9,1,116
"07.high",2006,1,15,15,0,0,19,0,2,0,0,0,4,36
"08.high",2006,1,4,26,0,0,5,0,2,0,2,0,3,32
"08.low",2006,1,12,94,0,1,14,0,3,1,14,3,4,115
"08.med",2006,1,8,86,4,0,8,0,2,2,2,7,9,100
"09.low",2006,1,18,52,2,0,18,0,2,3,3,2,3,80
"09.med",2006,1,5,12,0,0,5,0,1,0,0,0,0,18
"10.high",2006,1,2,3,0,0,2,0,1,0,0,1,0,5
"10.low",2006,1,25,75,7,1,25,0,0,0,3,8,4,109
"10.med",2006,1,4,17,1,0,4,0,0,0,0,4,2,27
"11.high",2006,1,27,51,0,0,32,0,0,2,5,4,11,89
"12.high",2006,1,16,47,2,0,18,0,4,0,5,7,1,70
"12.low",2006,1,5,11,1,0,5,0,1,0,0,1,1,16
"12.med",2006,1,35,71,0,0,36,0,4,1,7,10,3,118
"13.high",2006,1,3,10,0,0,3,0,0,1,0,1,1,15
"13.low",2006,1,16,40,1,0,16,0,1,4,7,2,2,56
"13.med",2006,1,11,37,0,0,11,0,2,1,3,5,8,52
"14.high",2006,1,11,19,0,1,11,0,2,0,2,1,4,31
"14.low",2006,1,4,1,0,0,5,0,0,0,0,0,0,6
"14.med",2006,1,17,41,0,1,21,0,2,0,2,7,6,69
"15.high",2006,1,97,187,2,2,113,1,8,2,12,16,52,330
"15.med",2006,1,3,8,1,0,3,0,1,0,1,0,0,11
"16.high",2006,1,0,1,0,0,0,0,0,0,0,1,0,1
"16.low",2006,1,1,1,0,0,1,0,0,0,0,0,0,3
"16.med",2006,1,2,3,0,0,2,0,0,0,0,1,1,5
"17.high",2006,1,0,3,0,0,1,0,0,0,1,1,1,4
"18.high",2006,1,1,7,0,0,1,0,0,0,0,1,1,10
"18.med",2006,1,0,0,0,0,0,0,0,0,0,0,0,1
"19.low",2006,1,4,8,0,0,4,0,0,0,1,1,1,12
"19.med",2006,1,11,14,0,1,12,0,0,0,1,1,0,26
"20.high",2006,1,17,27,0,1,18,0,1,1,0,2,8,47
"20.low",2006,1,5,19,0,0,5,0,0,0,4,5,3,25
"20.med",2006,1,38,77,1,0,42,0,5,1,9,18,4,125
"21.low",2006,1,26,169,3,4,27,0,0,11,18,18,10,218
"21.med",2006,1,57,147,1,1,58,0,1,7,6,19,9,224
"22.high",2006,1,4,10,0,0,4,0,0,0,0,2,1,17
"22.low",2006,1,3,4,0,0,3,0,0,1,0,2,1,7
"22.med",2006,1,10,23,1,0,11,0,1,2,0,3,4,38
"23.high",2006,1,4,15,0,0,6,1,0,0,0,0,3,22
"23.low",2006,1,1,2,0,0,1,0,0,1,0,0,0,3
"23.med",2006,1,1,0,0,0,1,0,0,0,0,0,0,1
"24.high",2006,1,9,15,0,0,9,0,0,0,0,1,2,25
"24.med",2006,1,0,3,0,0,0,0,0,0,0,1,0,3
"25.high",2006,1,30,47,0,0,30,0,3,3,0,14,2,83
"25.low",2006,1,0,1,0,0,0,0,0,0,0,0,0,1
"25.med",2006,1,9,10,1,0,9,0,0,0,0,5,0,21
"01.high",2007,1,2,6,0,0,2,0,1,0,1,2,0,10
"01.low",2007,1,5,3,0,0,5,0,0,0,0,1,0,11
"01.med",2007,1,1,2,0,0,1,0,0,0,0,0,0,6
"02.high",2007,1,12,26,1,1,13,0,0,0,1,5,2,47
"02.low",2007,1,1,3,0,0,1,0,0,0,0,1,1,4
"02.med",2007,1,8,21,1,0,8,0,0,0,0,5,4,32
"03.low",2007,1,7,32,0,0,8,0,3,1,2,2,6,46
"03.med",2007,1,1,4,0,0,1,0,0,0,0,0,0,7
"04.high",2007,1,31,63,0,0,33,0,4,2,0,7,9,99
"04.low",2007,1,4,2,0,1,4,0,0,0,0,1,0,7
"04.med",2007,1,4,13,0,0,4,0,0,0,1,2,1,19
"05.low",2007,1,3,22,0,0,4,0,1,0,4,1,0,29
"05.med",2007,1,7,44,0,0,8,0,1,2,6,3,1,55
"06.low",2007,1,4,8,0,0,4,0,0,0,0,2,1,12
"06.med",2007,1,3,8,0,0,3,0,0,0,1,0,3,13
"07.high",2007,1,17,18,0,0,19,0,1,0,0,1,6,42
"08.high",2007,1,6,14,0,0,8,0,0,0,1,0,2,24
"08.low",2007,1,11,66,1,0,11,0,0,3,6,2,5,85
"08.med",2007,1,4,66,0,0,6,0,1,0,5,1,2,81
"09.low",2007,1,18,44,1,0,19,0,1,0,0,4,6,70
"09.med",2007,1,2,10,0,0,2,0,0,0,0,2,0,12
"10.high",2007,1,2,3,0,0,3,0,1,0,0,0,1,7
"10.low",2007,1,17,58,5,1,17,0,3,2,1,6,4,91
"10.med",2007,1,8,15,0,2,8,0,1,0,1,3,2,27
"11.high",2007,1,22,53,1,0,22,0,1,0,1,3,10,77
"11.med",2007,1,1,0,0,0,1,0,0,0,0,0,0,1
"12.high",2007,1,24,37,1,2,27,0,2,0,1,4,3,69
"12.low",2007,1,2,17,0,2,2,0,0,1,2,0,0,22
"12.med",2007,1,22,48,1,1,24,0,0,0,2,8,1,79
"13.high",2007,1,7,29,1,0,7,1,1,0,1,6,10,38
"13.low",2007,1,6,29,0,1,6,0,2,3,2,8,2,37
"13.med",2007,1,12,26,0,1,13,0,1,0,0,6,6,44
"14.high",2007,1,12,25,0,0,14,0,2,1,1,1,3,42
"14.low",2007,1,2,9,0,0,2,0,0,0,0,3,0,12
"14.med",2007,1,26,44,0,2,27,0,1,1,2,4,4,82
"15.high",2007,1,118,177,0,0,124,0,2,2,11,23,48,325
"15.med",2007,1,5,14,0,1,5,0,0,0,0,3,3,21
"16.high",2007,1,4,3,0,0,4,0,0,0,0,0,0,7
"16.low",2007,1,5,27,2,0,5,0,0,0,3,10,0,32
"16.med",2007,1,17,26,0,0,18,0,1,0,0,3,1,44
"17.high",2007,1,5,14,1,0,6,0,1,0,2,5,0,21
"18.high",2007,1,5,6,0,0,5,0,0,1,0,0,2,12
"18.med",2007,1,0,2,0,0,0,0,0,0,0,0,0,2
"19.high",2007,1,0,0,0,0,0,0,0,0,0,0,0,1
"19.low",2007,1,2,11,0,2,2,0,1,0,0,0,2,17
"19.med",2007,1,10,9,0,0,10,0,0,0,1,2,0,24
"20.high",2007,1,22,35,0,1,22,0,2,1,3,5,5,63
"20.low",2007,1,6,18,0,2,6,0,0,0,4,5,0,28
"20.med",2007,1,29,61,0,1,30,0,0,3,8,14,2,99
"21.low",2007,1,29,164,4,2,33,0,4,3,18,27,5,216
"21.med",2007,1,61,173,1,1,64,0,3,6,8,43,6,266
"22.high",2007,1,5,10,0,0,5,0,0,1,0,3,2,18
"22.low",2007,1,1,3,1,0,1,0,0,0,0,0,0,4
"22.med",2007,1,11,17,1,0,11,0,1,1,0,3,0,31
"23.high",2007,1,7,18,0,0,7,0,0,0,3,0,6,28
"24.high",2007,1,6,9,0,0,6,0,1,0,0,2,2,15
"25.high",2007,1,53,104,0,2,55,0,2,4,4,32,8,167
"25.med",2007,1,18,14,0,0,18,0,0,0,0,4,0,32
"01.high",2008,1,2,2,0,0,2,0,0,0,0,1,0,4
"01.low",2008,1,0,7,0,0,0,0,0,0,1,3,0,8
"01.med",2008,1,0,1,0,0,1,0,0,0,0,0,0,2
"02.high",2008,1,9,18,1,0,11,0,0,0,4,2,2,29
"02.low",2008,1,1,3,0,0,1,0,0,0,2,1,0,4
"02.med",2008,1,4,19,2,0,5,1,0,0,1,0,2,25
"03.low",2008,1,8,22,2,0,10,0,0,0,1,3,2,34
"03.med",2008,1,3,6,0,0,3,0,0,0,1,2,0,10
"04.high",2008,1,23,87,1,2,26,10,1,1,2,8,10,115
"04.low",2008,1,1,5,0,0,1,0,0,0,0,0,0,6
"04.med",2008,1,4,10,0,0,4,2,0,0,0,1,0,15
"05.low",2008,1,6,20,0,0,8,1,0,0,1,3,2,30
"05.med",2008,1,8,28,0,0,10,1,1,0,4,1,0,38
"06.low",2008,1,18,23,2,0,19,1,0,0,1,0,2,49
"06.med",2008,1,10,30,1,1,10,0,0,0,0,3,0,46
"07.high",2008,1,9,26,0,0,13,1,0,0,2,3,10,40
"08.high",2008,1,5,18,0,0,7,2,0,0,1,2,3,25
"08.low",2008,1,7,96,0,1,8,9,0,0,4,8,5,112
"08.med",2008,1,6,69,1,0,11,4,1,1,3,7,4,80
"09.low",2008,1,12,35,1,0,13,1,1,1,0,3,5,51
"09.med",2008,1,8,5,0,0,8,0,0,0,0,1,0,14
"10.high",2008,1,0,2,0,0,1,0,0,0,0,1,0,4
"10.low",2008,1,15,55,2,0,15,1,0,0,1,11,6,79
"10.med",2008,1,1,14,1,0,1,0,0,0,0,3,4,16
